,x,y,t,vitesse_v,angle_v,cap,twa,polaire
65,-51.2671707233051,-44.694120641078236,1593647976.025966,18.970731684196394,207.50119011875222,87.15422718958087,120.34696292917135,25.42879022556774
66,-50.67243497347136,-44.72368435337348,1593651576.025966,19.685484848519273,209.4404195335029,79.95428932954496,129.48613020395794,26.031004478484356
67,-50.078717677916295,-44.82886119590958,1593655176.025966,20.047509923530306,211.6163299321642,69.33870719183932,142.2776227403249,25.852273295784585
68,-49.58569181347187,-45.01477961256544,1593658776.025966,20.82707392702251,213.7744713535077,83.61143887444064,130.16303247906706,26.85574347938933
69,-48.957724450344635,-45.0850904924957,1593662376.025966,21.50168550378991,213.8632260566743,83.61922271938482,130.24400333728948,27.35271336577797
70,-48.31713065152053,-45.15672698492239,1593665976.025966,22.17266016872143,216.76666076459242,84.3401737777919,132.4264869868005,27.946827551286116
71,-47.66014038511714,-45.22183811612905,1593669576.025966,22.62434029706834,218.97980477142656,77.10919702517333,141.87060774625323,28.248209749230206
72,-47.04042670562203,-45.36366680641547,1593673176.025966,23.685970553994576,220.76418595244095,84.36063187727518,136.40355407516577,29.2473777850906
73,-46.35133181921188,-45.43171121449007,1593676776.025966,24.356709102924967,219.36401733143612,75.67189104003404,143.69212629140208,29.736381320978282
74,-45.69245803567582,-45.600000320167936,1593680376.025966,24.982671605933263,216.78156180648546,83.67652332731143,133.10503847917403,29.945236516182405
75,-44.98412562084624,-45.67849473344563,1593683976.025966,25.80786063142005,222.3925855221525,74.98661426720565,147.40597125494685,31.097717191847202
76,-44.32707679059601,-45.85471497133417,1593687576.025966,28.237780353984927,223.18560638614494,79.42898849741397,143.75661788873097,32.900820715169985
77,-43.55485233652822,-45.99882850146275,1593691176.025966,30.716877302780052,221.32193895265203,78.00952174831087,143.31241720434116,34.8311915238572
78,-42.738987639488414,-46.172104190304836,1593694776.025966,28.43459976266232,225.10066779496591,79.48812992754864,145.61253786741727,33.27299233715135
79,-41.95391862704322,-46.317776368855625,1593698376.025966,28.624908378088925,227.2794259347387,81.64841096033393,145.63101497440476,33.432990511231225
80,-41.15340498444642,-46.43529489779235,1593701976.025966,31.412892270164985,228.80396292566505,82.36998442775496,146.4339784979101,35.8013315222453
81,-40.293955074791604,-46.55042828755108,1593705576.025966,30.62420688704566,232.29795047153357,85.17334330894607,147.1246071625875,35.3084032278301
82,-39.43640227755386,-46.62284081082146,1593709176.025966,30.536027581633792,234.72938885102417,86.56140153044987,148.1679873205743,35.412947954382474
83,-38.574189472541946,-46.674648610979794,1593712776.025966,31.545608960937994,233.23664174724863,85.87518398161342,147.3614577656352,36.00739197775246
84,-37.69922602880232,-46.73774769474782,1593716376.025966,29.43001501932666,236.33006783580748,87.94298708363982,148.38708075216766,34.55382100988392
85,-36.85629807052003,-46.76802320649184,1593719976.025966,28.942369183917634,240.05088079306515,90.0,150.05088079306515,34.30522149698223
86,-36.02156489466227,-46.76802320649184,1593723576.025966,31.105253898519532,236.18770432859225,87.25782043384908,148.92988389474317,35.901819196983354
87,-35.148256379955505,-46.80985174840968,1593727176.025966,28.073992833636005,238.30276110090074,89.31554130413213,148.9872197967686,33.34366397741336
88,-34.33557267962092,-46.81956057674475,1593730776.025966,27.28508752500253,242.32706472506936,92.05389248087079,150.27317224419858,32.52877157221133
89,-33.54246806732592,-46.79111782375382,1593734376.025966,29.104732752799038,240.45325424549256,90.68469703783762,149.76855720765494,34.456881727559434
90,-32.70497425778434,-46.78110911397186,1593737976.025966,27.189932107812847,238.33442382447424,89.3151756565644,149.01924816790984,32.49177590412668
91,-31.913725100061185,-46.79056692211846,1593741576.025966,25.241217572781093,243.29098129555157,92.74103343087847,150.5499478646731,30.233097064155903
92,-31.172927828635263,-46.75510007603733,1593745176.025966,27.15693676703262,244.9435819536876,93.43020902068946,151.51337293299815,31.802011102313223
93,-30.384655980287306,-46.707851005033234,1593748776.025966,25.73554212450326,242.4610900561951,92.05815216163256,150.40293789456254,30.870539552927585
94,-29.63083041149984,-46.68076078293034,1593752376.025966,24.490052782383756,243.6021795570669,92.7466120190445,150.8555675380224,29.218945277620147
95,-28.911972427862544,-46.646274162927746,1593755976.025966,25.426812386600197,245.48626070592866,94.1269737967205,151.35928690920815,30.048734147602644
96,-28.170416157525533,-46.59276783185195,1593759576.025966,24.552870249887864,243.62904496397107,92.75107510410533,150.87796985986574,29.279882171630074
97,-27.451041617314903,-46.55820026523433,1593763176.025966,23.913367414350898,242.14226243750903,92.06384631652821,150.07841612098082,28.931083255702987
98,-26.748619865947855,-46.5328874433079,1593766776.025966,23.509858788771485,243.18433298747064,92.75410857063241,150.43022441683823,28.18865193630982
99,-26.060636072270672,-46.49979176395279,1593770376.025966,23.727937306378514,241.79019453236572,91.37700867635351,150.4131858560122,28.50174911772677
100,-25.365592114257375,-46.48308432263971,1593773976.025966,23.454530478760805,240.9557333842077,91.37743158192688,149.5783018022808,28.359124762427133
101,-24.6783541872216,-46.46655944691441,1593777576.025966,22.93730606029367,241.0493894766153,86.55151206899171,154.49787740762358,25.431672906312443
102,-24.080933871729446,-46.50256014512254,1593781176.025966,23.15578972702561,241.6786853582779,91.37693859064024,150.30174676763767,27.756860486633556
103,-23.40493379797751,-46.486311307383716,1593784776.025966,23.47810796736606,240.98831537434347,86.55276054097061,154.43555483337286,26.155739077740208
104,-22.790359306163342,-46.52333228040754,1593788376.025966,23.309826287852307,239.77240526674325,30.421326166571816,150.64892089982857,27.80179184417397
105,-22.528571459579084,-46.969158580569434,1593791976.025966,24.18009932018951,237.38741381198847,87.26806130704307,150.1193525049454,29.237073757980433
